Planner,ProblemDim,Time,Actions
sgplan40,32,0.49893808364868164,139.0
sgplan40,32,0.49933528900146484,139.0
sgplan40,33,0.3955211639404297,136.0
sgplan40,33,0.38436079025268555,136.0
sgplan40,33,0.3811936378479004,136.0
sgplan40,34,0.41834449768066406,148.0
sgplan40,34,0.5716831684112549,148.0
sgplan40,34,0.4020040035247803,148.0
sgplan40,35,0.5561017990112305,150.0
sgplan40,35,0.7004683017730713,150.0
sgplan40,35,0.547886848449707,150.0
sgplan40,36,0.5897586345672607,153.0
sgplan40,36,0.5931406021118164,153.0
sgplan40,36,0.6062476634979248,153.0
sgplan40,37,1.028867244720459,159.0
sgplan40,37,1.0603816509246826,159.0
sgplan40,37,1.024681568145752,159.0
sgplan40,38,0.9006071090698242,165.0
sgplan40,38,0.9224045276641846,165.0
sgplan40,38,0.7611367702484131,165.0
sgplan40,39,1.0304386615753174,170.0
sgplan40,39,0.8591146469116211,170.0
sgplan40,39,1.052217960357666,170.0
sgplan40,40,0.6683919429779053,157.0
sgplan40,40,0.7853457927703857,157.0
sgplan40,40,0.6571366786956787,157.0
sgplan40,41,1.077458381652832,164.0
sgplan40,41,1.0643749237060547,164.0
sgplan40,41,0.9456367492675781,164.0
sgplan40,42,1.4421582221984863,188.0
sgplan40,42,1.4244630336761475,188.0
sgplan40,42,1.4666028022766113,188.0
sgplan40,43,1.4770419597625732,187.0
sgplan40,43,1.4746694564819336,187.0
sgplan40,43,1.4416766166687012,187.0
sgplan40,44,1.4088385105133057,180.0
sgplan40,44,1.4195599555969238,180.0
sgplan40,44,1.3939571380615234,180.0
sgplan40,45,1.4919400215148926,189.0
sgplan40,45,1.3390231132507324,189.0
sgplan40,45,1.3891654014587402,189.0
sgplan40,46,1.9343092441558838,196.0
sgplan40,46,1.870065689086914,196.0
sgplan40,46,1.9269611835479736,196.0
sgplan40,47,2.0800621509552,202.0
sgplan40,47,2.1232995986938477,202.0
sgplan40,47,2.0526180267333984,202.0
sgplan40,48,1.830686092376709,201.0
