Planner,ProblemDim,Time,Actions
lpg-td,111,18.499941110610962,426.0
lpg-td,112,18.788092136383057,435.0
lpg-td,112,18.971330165863037,435.0
lpg-td,112,18.87440037727356,435.0
lpg-td,113,22.85642409324646,432.0
lpg-td,113,22.821776628494263,432.0
lpg-td,113,23.134561777114868,432.0
lpg-td,114,20.756006479263306,441.0
lpg-td,114,20.605790615081787,441.0
lpg-td,114,20.72140407562256,441.0
lpg-td,115,23.84564185142517,441.0
lpg-td,115,24.028357982635498,441.0
lpg-td,115,23.90980863571167,441.0
lpg-td,116,23.388301610946655,463.0
lpg-td,116,23.46222233772278,463.0
lpg-td,116,23.386935234069824,463.0
lpg-td,117,21.478519439697266,457.0
lpg-td,117,21.32282042503357,457.0
lpg-td,117,21.428359746932983,457.0
lpg-td,118,24.152255535125732,467.0
lpg-td,118,24.08372688293457,467.0
lpg-td,118,24.056639671325684,467.0
lpg-td,119,24.89598274230957,468.0
lpg-td,119,24.779752016067505,468.0
lpg-td,119,24.713984489440918,468.0
lpg-td,120,23.888012409210205,462.0
lpg-td,120,23.833995580673218,462.0
lpg-td,120,23.691137075424194,462.0
lpg-td,121,24.96595287322998,480.0
lpg-td,121,25.05761408805847,480.0
lpg-td,121,25.09414291381836,480.0
lpg-td,122,27.91391897201538,476.0
lpg-td,122,27.798930168151855,476.0
lpg-td,122,27.837720155715942,476.0
lpg-td,123,28.547282695770264,485.0
lpg-td,123,28.336137771606445,485.0
lpg-td,123,28.60377025604248,485.0
lpg-td,124,27.85090708732605,487.0
lpg-td,124,27.77749252319336,487.0
lpg-td,124,27.652714014053345,487.0
lpg-td,125,26.236684322357178,495.0
lpg-td,125,25.698904514312744,495.0
lpg-td,125,26.039586067199707,495.0
lpg-td,126,31.27563190460205,500.0
lpg-td,126,30.87282419204712,500.0
lpg-td,126,30.96240210533142,500.0
lpg-td,127,30.96370577812195,501.0
lpg-td,127,30.873419284820557,501.0
lpg-td,127,30.8609356880188,501.0
lpg-td,128,32.69186758995056,499.0
lpg-td,128,32.79450297355652,499.0
lpg-td,128,32.640704870224,499.0
lpg-td,129,30.041326761245728,509.0
lpg-td,129,29.851598501205444,509.0
lpg-td,129,29.80494713783264,509.0
lpg-td,130,31.2028546333313,518.0
lpg-td,130,31.154388666152954,518.0
lpg-td,130,31.314071893692017,518.0
lpg-td,131,33.110254526138306,516.0
lpg-td,131,33.06834387779236,516.0
lpg-td,131,33.21794557571411,516.0
lpg-td,132,33.302608013153076,515.0
lpg-td,132,33.51987886428833,515.0
lpg-td,132,33.63865089416504,515.0
lpg-td,133,35.15910506248474,535.0
lpg-td,133,35.329017877578735,535.0
lpg-td,133,35.10550045967102,535.0
lpg-td,134,32.63798785209656,538.0
lpg-td,134,32.84683704376221,538.0
lpg-td,134,32.91896986961365,538.0
lpg-td,135,34.781317472457886,548.0
lpg-td,135,34.862621784210205,548.0
lpg-td,135,34.953126430511475,548.0
lpg-td,136,42.54848670959473,531.0
lpg-td,136,42.83018136024475,531.0
lpg-td,136,42.84263610839844,531.0
lpg-td,137,34.613563776016235,558.0
lpg-td,137,34.58462429046631,558.0
lpg-td,137,34.85711145401001,558.0
lpg-td,138,37.0260648727417,549.0
lpg-td,138,37.22337198257446,549.0
lpg-td,138,37.25030827522278,549.0
lpg-td,139,42.240965127944946,551.0
lpg-td,139,42.217873334884644,551.0
lpg-td,139,42.320744037628174,551.0
lpg-td,140,40.58796525001526,563.0
lpg-td,140,40.96001100540161,563.0
lpg-td,140,40.65096712112427,563.0
lpg-td,141,34.15536642074585,565.0
lpg-td,141,33.82248115539551,565.0
lpg-td,141,33.61770462989807,565.0
lpg-td,142,34.70037508010864,572.0
lpg-td,142,34.49257731437683,572.0
lpg-td,142,34.3510525226593,572.0
lpg-td,143,36.64097785949707,566.0
lpg-td,143,36.623265981674194,566.0
lpg-td,143,36.83556342124939,566.0
lpg-td,144,55.21060109138489,570.0
lpg-td,144,53.96921110153198,570.0
lpg-td,144,54.79751133918762,570.0
lpg-td,145,42.993858337402344,574.0
lpg-td,145,42.53969407081604,574.0
lpg-td,145,42.36336922645569,574.0
lpg-td,146,38.086326599121094,588.0
lpg-td,146,38.30066108703613,588.0
lpg-td,146,38.26227068901062,588.0
lpg-td,147,37.82384943962097,587.0
lpg-td,147,37.99729633331299,587.0
lpg-td,147,37.96137976646423,587.0
lpg-td,148,41.58137011528015,597.0
lpg-td,148,41.51488256454468,597.0
lpg-td,148,41.624815464019775,597.0
lpg-td,149,46.62017059326172,591.0
lpg-td,149,46.4590368270874,591.0
lpg-td,149,46.60059094429016,591.0
lpg-td,150,54.552756786346436,598.0
lpg-td,150,55.317455768585205,598.0
lpg-td,150,55.19455313682556,598.0
lpg-td,151,43.23112773895264,613.0
lpg-td,151,42.81793284416199,613.0
lpg-td,151,43.282366037368774,613.0
lpg-td,152,43.63641667366028,615.0
lpg-td,152,43.40286660194397,615.0
lpg-td,152,43.40601587295532,615.0
lpg-td,153,50.54489803314209,621.0
lpg-td,153,50.57411289215088,621.0
lpg-td,153,50.387089014053345,621.0
lpg-td,154,47.30885124206543,621.0
lpg-td,154,47.61296224594116,621.0
lpg-td,154,47.1359646320343,621.0
lpg-td,155,50.37605404853821,612.0
lpg-td,155,50.533175230026245,612.0
lpg-td,155,50.641725301742554,612.0
lpg-td,156,51.127734661102295,632.0
lpg-td,156,50.50299906730652,632.0
lpg-td,156,50.37783980369568,632.0
lpg-td,157,54.54001212120056,632.0
lpg-td,157,54.82749915122986,632.0
lpg-td,157,54.72302985191345,632.0
lpg-td,158,76.45412087440491,626.0
lpg-td,158,76.18975234031677,626.0
lpg-td,158,75.97459626197815,626.0
